Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~RMOV_chopper_ver1-0.PrjPcb|ReportField=ProjectFullPath~C:\Users\SasaI\Desktop\RMO V biljeske\RMO-V chopper board ver1-0\RMOV_chopper_ver1-0.PrjPcb|ReportField=Title~Bill of Materials For Project [RMOV_chopper_ver1-0.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~10:59:56 AM|ReportField=ReportDate~2/25/2020|ReportField=ReportDateTime~2/25/2020 10:59:56 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~345|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Board~RMO-V Chopper board|ReportField=Designed~Sasa Ikic|ReportField=Version~1.0|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~2/25/2020|ReportField=CurrentTime~10:59:52 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\SasaI\Desktop\RMO V biljeske\RMO-V chopper board ver1-0\00-Chopper.SchDoc|ReportField=DocumentName~00-Chopper.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~2/25/2020|ReportField=Organization~|ReportField=ProjectName~RMOV_chopper_ver1-0.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~3|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~RMOV_chopper_ver1-0.PrjPcb|ReportField=DataSourceFullPath~C:\Users\SasaI\Desktop\RMO V biljeske\RMO-V chopper board ver1-0\RMOV_chopper_ver1-0.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|2200pF/100V|D222K25Y5PH63J5R -  Ceramic Disc Capacitor, 2200 pF, 100 V, D Series, ± 10%, Y5P, 5 mm|C1, C2, C11, C12, C13, C14, C21, C22, C88, C89, C94, C95, C98, C99, C104, C105|DiscCapacitorSnuber|D222K25Y5PH63J5R|16
2|100uF/35V|NICHICON         RHS1V101MCN1GS             ALUMINUM ELECTROLYTIC CAPACITOR, 100UF, 20%, 35V, SMD|C3, C4|CAPAE8884X86M|RHS1V101MCN1GS|2
3|1uF/25V|1µF ±10% 25V Ceramic Capacitor X7R 0805 (2012 Metric)|C5, C8, C15, C16, C86, C87, C96, C97|CAPC2013X14N|CL21B105KAFNNNG|8
4|56uF/35V|56µF 35V Aluminum Polymer Capacitor Radial, Can - SMD 31mOhm 3000 Hrs @ 105°C|C6, C7, C17, C18, C90, C91, C100, C101|CAPAE10184X100M|PCV1V560MCL1GS|8
5|10uF/50V|10µF ±20% 50V Ceramic Capacitor X7S 1210 (3225 Metric)|C9, C10, C19, C20, C28, C92, C93, C102, C103|CAPC3426X27N|UMK325C7106MM-T, UMK325C7106MM-T_1|9
6|10uF/25V|CAP 10UF ELEC RAD 25V|C23, C25|CAPAED5.0x5.4|EEE-1EA100SR|2
7|0.1uF|CAP 0.1uF 0805 50V|C24, C26, C27, C29, C35, C39, C41, C42, C43, C47, C49, C50, C52, C56, C58, C61, C63, C64, C65, C66, C69, C70, C75, C76, C77, C79, C81, C83, C85|C0805|08055C104KAT2A|29
8|22uF/16V|Multilayer Ceramic Capacitors MLCC - SMD/SMT 1210 22uF 16volts *Derate Voltage/Temp|C30, C31|CAPC3426X27N|GRM32NC81C226KE15L|2
9|75pF|CAP 75PF 0805 50V|C32|C0805|CC0805JRNPO9BN750|1
10|4.7uF/25V|CAP 4.7UF 0805 25V|C33|C0805|CL21A475KAQNNNE|1
11|10uF/6.3V|CAP 10UF 0805 6.3V|C34|C0805|JMK212BJ106KD-T|1
12|2n2/250Vac|Cap Ceramic 0.0022uF 250VAC X7R 10% SMD 2220 Embossed T/R|C36, C40, C44, C48|CAPC3426X27N|GA355QR7GF222KW01L|4
13|1uF|CAP 1UF 0805 25V|C37, C38, C45, C46, C72, C73|C0805|C0805C105K3RACTU|6
14|0.22uF/50V|Cap Ceramic 0.22uF 50V X7R 10% SMD 0805 125°C Paper T/R|C51, C53, C54, C55, C57, C59, C60, C62|CAPC2013X14N|C0805C224K5RAC7800|8
15|470nF|CAP 470nF 0805 50V|C67, C68|C0805|C0805C474K5RACTU|2
16|220pF|CAP 220PF 0805 50V|C71, C74, C78, C80, C82, C84|C0805|C0805C221J5GAC-TU|6
